Record ID,Data de criação,Data da última modificação,Data da última atividade,Data de fechamento,Etapa do negócio,Valor,Valor do contrato anual,Receita anual recorrente,Valor total do contrato,Valor previsto,Valor na moeda da empresa,Valor do negócio projetado na moeda local,Valor do negócio projetado,Motivo de fechamento perdido,Data da próxima atividade,Nome da empresa,Nome do negócio completo,Setor,ultima_etapa,Nome do negócio
5480327742,2021-06-18 09:40,2023-03-09 14:36,2021-10-05 08:00,2021-12-01 18:23,Negócio perdido,,,,,,,,,Não é ICP,,RANDON S.A.,RANDON S.A.,Automotivo,Agendamento_Aceito,RANDON S.A.
5470511669,2021-06-16 18:10,2023-07-19 15:36,2021-10-05 09:45,2021-10-21 02:47,Negócio perdido,,,,,,,,,Não é ICP; Nós Declinamos,,GRUPO BERLANDA,Lojas Berlanda,Varejo ,Agendamento_Aceito,Grupo Berlanda
5442109042,2021-06-11 18:05,2023-07-20 11:42,2023-02-06 11:37,2022-03-11 17:03,Negócio perdido,,,,,,,,,Sumiu,,INGRAM MICRO,Ingram Micro,Tecnologia da informação e serviços,Diagnostico,Ingram Micro
5440817686,2021-06-11 11:32,2023-03-09 14:36,2021-06-24 08:18,2021-09-30 10:00,Negócio perdido,,,,,,,,,Nós Declinamos; Não é ICP,,JLL,JLL,Imobiliária,Agendamento_Aceito,JLL
5417136532,2021-06-07 09:40,2023-07-20 11:36,2021-07-13 13:46,2021-08-09 11:37,Negócio perdido,128898.71,,,,128898.71,128898.71,0.0,0.0,Financeiro,,NISSIN FOODS,Nissin Foods,Alimentos e bebidas,Proposta,Nissin Foods
5382207351,2021-06-01 11:14,2023-03-09 14:36,2023-03-07 15:11,2021-06-08 11:51,Negócio perdido,,,,,,,,,Maturação,,UISA,Uisa,Construção ,Agendamento_Aceito,Uisa
5381991819,2021-06-01 10:43,2023-07-20 11:06,2021-08-24 14:34,2021-09-22 14:02,Negócio perdido,251055.6,,,,251055.6,251055.6,0.0,0.0,Financeiro; Desinteresse/Declinou,,OTTOBOCK,Ottobock,Farmacêutica,Cliente,Ottobock
5359330094,2021-05-27 15:34,2023-05-10 16:59,2021-10-05 15:47,2022-03-11 17:03,Negócio perdido,296439.72,,,,296439.72,296439.72,0.0,0.0,Timing,,EUROFARMA,Eurofarma,Farmacêutica ,Proposta,Eurofarma - MAQ
5358144081,2021-05-27 11:40,2023-07-20 11:25,2022-04-28 14:50,2022-03-16 16:39,Negócio perdido,194676.0,,,,194676.0,194676.0,0.0,0.0,Financeiro; Timing,,ALTERDATA SOFTWARE,Alterdata Software,Software de computador,Proposta,Alterdata Software
5357537637,2021-05-27 08:43,2023-07-20 11:22,2022-01-17 11:57,2021-06-01 17:26,Negócio perdido,,,,,,,,,Maturação,,YARABRASIL,Yara Brasil,Produtos químicos,Agendamento_Aceito,Yara Brasil
5346694803,2021-05-25 12:14,2023-03-09 14:36,2022-04-11 14:48,2022-02-15 15:09,Negócio perdido,,,,,,,,,Sumiu,,UNIVERSIDADE DE,Universidade la salle,Ensino superior,Agendamento_Aceito,Universidade la salle
5346264983,2021-05-25 11:28,2023-07-19 15:03,2022-03-04 19:29,2022-03-11 17:02,Negócio perdido,238082.76,,,,238082.76,238082.76,0.0,0.0,Financeiro,,MRS LOGÍSTICA,MRS Logistica,Transporte/caminhões/ferrovias ,Proposta,MRS Logistica
5315347558,2021-05-21 09:09,2023-07-20 11:35,2021-12-14 10:00,2022-02-14 15:14,Negócio perdido,120000.0,,,,120000.0,120000.0,0.0,0.0,Desinteresse/Declinou,,COTY,Coty Paixão,"Saúde, bem-estar e fitness",Diagnostico,Coty 
5301798719,2021-05-19 19:48,2023-06-07 10:04,2021-10-05 08:00,2021-12-01 18:21,Negócio perdido,,,,,,,,,Financeiro,,SHOULDER,Shoulder,Varejo,Agendamento_Aceito,Shoulder
5293157493,2021-05-18 17:41,2023-07-20 11:37,2021-08-24 09:49,2022-02-15 15:08,Negócio perdido,1021110.12,,,,1021110.12,1021110.12,0.0,0.0,Sumiu,,PANASONIC,Panasonic,Fabricação elétrica/eletrônica,Proposta,Panasonic
5253626756,2021-05-13 10:46,2023-07-20 11:23,2021-09-21 08:00,2022-03-11 17:03,Negócio perdido,,,,,,,,,Maturação,,LIBERTY SEGUROS,Liberty Seguros,Seguro,Diagnostico,Liberty Seguros
5239041433,2021-05-12 11:02,2023-06-23 18:08,2023-06-23 18:08,2021-06-21 14:25,Cliente,187500.0,,,,187500.0,187500.0,187500.0,187500.0,,,SYNGENTA,Syngenta,Agricultura ,Cliente,Syngenta - Plano Culturas
5220031161,2021-05-10 09:17,2023-07-19 14:55,2023-05-15 11:52,2021-06-21 11:06,Negócio perdido,201000.0,,,,201000.0,201000.0,0.0,0.0,Maturação,,LOJAS BENOIT,Lojas Benoit,Varejo ,Proposta,Lojas Benoit
5192868276,2021-05-06 16:22,2023-03-09 14:36,2021-05-25 16:00,2021-06-01 16:08,Negócio perdido,18404.4,,,,18404.4,18404.4,0.0,0.0,Financeiro; Nós Declinamos,,CAT PESA,CAT PESA,Maquinário,Proposta,CAT PESA
5129855612,2021-04-29 16:12,2023-05-10 16:59,2021-07-01 19:19,2021-06-18 11:17,Cliente,436085.8,,,,436085.8,436085.8,436085.8,436085.8,,,EUROFARMA,Eurofarma,Farmacêutica ,Cliente,Eurofarma - Moviment C
5127424545,2021-04-29 11:51,2023-06-23 18:08,2023-06-23 18:08,2022-02-14 15:14,Negócio perdido,3084000.0,,,,3084000.0,3084000.0,0.0,0.0,Desinteresse/Declinou,,SYNGENTA,Syngenta,Agricultura ,Proposta,Syngenta - Portal Unbranded
5110682725,2021-04-27 11:30,2023-03-16 12:06,2023-03-16 12:06,2022-03-11 17:01,Negócio perdido,233431.8,,,,233431.8,233431.8,0.0,0.0,Financeiro,,ASSURANT,Assurant,Seguro,Proposta,Assurant
5104893010,2021-04-26 16:52,2023-03-09 14:36,2021-05-25 18:50,2021-06-21 18:09,Negócio perdido,,,,,,,,,Sumiu,,SERVENG CIVILSAN,Serveng Civilsan,Construção,Agendamentos,Serveng Civilsan
5043158529,2021-04-19 12:36,2023-03-13 15:04,2023-02-28 12:00,2021-07-27 12:40,Cliente,183483.72,,,,183483.72,183483.72,183483.72,183483.72,,,COCAMAR,Cocamar,Produção de alimentos,Cliente,Cocamar
4985313037,2021-04-12 14:41,2023-06-01 23:01,2023-02-07 10:20,2021-05-31 12:47,Negócio perdido,227936.16,,,,227936.16,227936.16,0.0,0.0,Fechou com Concorrente; Financeiro,,SANTA HELENA,Santa Helena Indústria de Alimentos S/A,Produção de alimentos,Proposta,Santa Helena Indústria de Alimentos S/A
4960833048,2021-04-08 16:29,2023-03-13 15:17,2022-08-17 16:41,2021-06-25 14:46,Cliente,861128.21,,,,861128.21,861128.21,861128.21,861128.21,Desinteresse/Declinou,,DIGIO,Digio,Tecnologia da informação e serviços ,Negocios_Criados,Digio
4850918233,2021-03-26 15:55,2023-07-20 11:38,2021-06-03 12:31,2021-07-15 10:50,Negócio perdido,,,,,,,,,Sumiu,,BANCO DAYCOVAL,Banco Daycoval,Bancário,Agendamento_Aceito,Banco Daycoval
4827350932,2021-03-25 19:06,2023-04-06 17:52,2021-04-09 15:38,2021-03-29 15:09,Negócio perdido,,,,,,,,,Não é ICP,,PETROBRAS,Eletrobras,Petróleo e energia,Agendamento_Aceito,Eletrobras
4790799739,2021-03-23 15:58,2023-03-09 14:36,2021-03-23 11:00,2021-06-18 19:39,Negócio perdido,138925.43,,,,138925.43,138925.43,0.0,0.0,Desinteresse/Declinou; Financeiro,,CARTÃO DE,Cartão de Todos,"Saúde, bem-estar e fitness ",Proposta,Cartão de Todos
4791125254,2021-03-23 14:55,2023-03-09 14:36,2022-10-04 15:03,2021-09-22 19:59,Cliente,793482.72,,,,793482.72,793482.72,793482.72,793482.72,,,MART MINAS,Mart Minas,Tecnologia da informação e serviços,Cliente,Mart Minas
4712384671,2021-03-18 15:29,2023-07-20 11:26,2023-02-14 14:46,2021-08-23 14:47,Negócio perdido,,,,,,,,,Maturação,,AL5 BANK,AL5 Bank,Bancário,Diagnostico,AL5 Bank
4668934210,2021-03-15 17:45,2023-05-10 16:59,2021-04-05 11:01,2021-07-15 12:10,Negócio perdido,276000.0,,,,276000.0,276000.0,0.0,0.0,Nós Declinamos,,EUROFARMA,Eurofarma,Farmacêutica ,Proposta,Eurofarma - Perlatte
4610928009,2021-03-10 19:12,2023-07-19 15:01,2023-02-14 14:46,2022-02-15 15:08,Negócio perdido,384438.0,,,,384438.0,384438.0,0.0,0.0,Financeiro,,AMAGGI,Amaggi ,Agricultura ,Proposta,Amaggi 
