Record ID;Data de criação;Data da última modificação;Data da última atividade;Data de fechamento;Etapa do negócio;Valor;Valor do contrato anual;Receita anual recorrente;Valor total do contrato;Valor previsto;Valor na moeda da empresa;Valor do negócio projetado na moeda local;Valor do negócio projetado;Motivo de fechamento perdido;Data da próxima atividade;Nome da empresa;Nome do negócio completo;Setor;ultima_etapa;Nome do negócio;Cliente;agendamento;diag;proposta;contrato;cliente
13690301517;2023-06-13T10:58:00Z;2023-06-21T12:13:00Z;2023-06-21T10:35:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PALLADIUM HOTEL;Palladium Hotel;Hotelaria;Agendamento_Aceito;Palladium Hotel;Nao;NA;NA;NA;NA;NA
13489361412;2023-05-29T12:49:00Z;2023-06-29T08:20:00Z;2023-06-29T08:20:00Z;NA;Agendamentos (MQL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;HYDAC;Hydac;Maquinário;Agendamentos;Hydac;Nao;NA;NA;NA;NA;NA
13422604381;2023-05-23T09:14:00Z;2023-07-19T10:21:00Z;2023-06-14T14:58:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;COOXUPÉ;Cooxupé;Armazenamento;Agendamento_Aceito;Cooxupé - Ecommerce;Nao;NA;NA;NA;NA;NA
13411720787;2023-05-22T09:34:00Z;2023-06-19T17:00:00Z;2023-06-05T19:27:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Maturação; Fechou com Concorrente";NA;VAGAS.COM;VAGAS.com;Software de computador;Negocios_Criados;VAGAS.com;Nao;NA;NA;NA;NA;NA
13389429885;2023-05-19T13:51:00Z;2023-06-16T12:17:00Z;2023-06-14T10:03:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;HEINEKEN;Heineken;Alimentos e bebidas;Agendamento_Aceito;Heineken;Nao;NA;NA;NA;NA;NA
13357688177;2023-05-16T16:10:00Z;2023-06-28T14:29:00Z;2023-05-17T15:23:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;COOXUPÉ;Cooxupé;Armazenamento;Agendamento_Aceito;Cooxupé;Nao;NA;NA;NA;NA;NA
13356360793;2023-05-16T15:17:00Z;2023-05-16T15:23:00Z;2023-05-16T15:17:00Z;NA;Agendamentos (MQL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;VENCE TUDO;Vence Tudo;Agricultura;Agendamentos;Vence Tudo;Nao;NA;NA;NA;NA;NA
13316079946;2023-05-12T15:06:00Z;2023-07-19T15:43:00Z;2023-05-30T15:49:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Financeiro; Sumiu";NA;SUPER MIX;Super Prix;NA;Agendamento_Aceito;Super Prix;Nao;NA;NA;NA;NA;NA
13315910518;2023-05-12T14:24:00Z;2023-05-17T14:10:00Z;2023-05-17T14:10:00Z;NA;Agendamentos (MQL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;GRUPO CURIMBABA;Grupo Curimbaba;NA;Agendamentos;Grupo Curimbaba;Nao;NA;NA;NA;NA;NA
13279967134;2023-05-09T14:47:00Z;2023-07-19T15:13:00Z;2023-05-11T17:28:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Financeiro; Nós Declinamos";NA;BRASIL ATACADISTA;Brasil Atacadista;Atacado;Agendamento_Aceito;Brasil Atacadista;Nao;NA;NA;NA;NA;NA
13205725995;2023-05-02T11:32:00Z;2023-07-19T15:36:00Z;2023-05-19T15:03:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Sumiu; Nós Declinamos; Não é ICP";NA;SAÚDE PETROBRÁS;Saúde Petrobrás;Petróleo e energia;Agendamento_Aceito;Saúde Petrobrás;Nao;NA;NA;NA;NA;NA
13159599031;2023-04-27T12:10:00Z;2023-05-12T10:55:00Z;2023-05-09T10:53:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;EUROBIKE;Eurobike;Automotivo;Agendamento_Aceito;Eurobike;Nao;NA;NA;NA;NA;NA
13057235528;2023-04-19T10:03:00Z;2023-07-19T15:08:00Z;2023-05-31T10:30:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Timing; Nós Declinamos; Maturação";NA;COCAL;Cocal;Agricultura;Agendamento_Aceito;Cocal;Nao;NA;NA;NA;NA;NA
12993392541;2023-04-14T18:11:00Z;2023-07-16T23:57:00Z;2023-05-30T14:00:00Z;NA;Proposta Enviada (SQL);400000,00;NA;NA;NA;400000,00;400000,00;200000,00;200000,00;NA;NA;POSITIVO;Positivo;Serviços de instalações;Proposta;Positivo;Nao;NA;NA;NA;NA;NA
12856570938;2023-04-05T17:08:00Z;2023-06-28T14:35:00Z;2023-04-14T12:07:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ITAÚ;Itaú;Bancário;Agendamento_Aceito;Itaú;Nao;NA;NA;NA;NA;NA
12826723072;2023-04-03T16:53:00Z;2023-07-19T14:53:00Z;2023-04-10T15:36:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Nós Declinamos; Financeiro; Timing";NA;AGROGALAXY;Agrogalaxy;NA;Agendamento_Aceito;Agrogalaxy;Nao;NA;NA;NA;NA;NA
