"Record ID","Nome do negócio","Data de criação","Data da última modificação","Data da última atividade","Data de fechamento","Etapa do negócio","Valor","Valor do contrato anual","Receita anual recorrente","Valor total do contrato","Valor previsto","Valor na moeda da empresa","Valor do negócio projetado na moeda local","Valor do negócio projetado","Motivo de fechamento perdido","Data da próxima atividade"
"10358562966","New Holland - Construction","2022-09-29 15:53","2023-07-04 16:55","2023-03-16 09:34","","Negócio perdido","","","","","","","","","Timing; Maturação",""
"10289777579","Cocamar - Retomada","2022-09-23 18:05","2023-03-13 15:03","2023-02-28 12:00","2022-11-24 12:07","Cliente","361995.96","","","","361995.96","361995.96","361995.96","361995.96","",""
"10282208687","Kuaishou","2022-09-22 21:56","2023-04-03 09:33","2022-10-11 10:47","","Negócio perdido","","","","","","","","","Timing; Desinteresse/Declinou",""
"10279522896","3M ","2022-09-22 17:07","2023-07-19 15:25","2023-02-13 08:00","2022-10-26 16:16","Negócio perdido","","","","","","","","","Maturação",""
"10277598247","Enel X ","2022-09-22 15:04","2023-07-20 11:48","2023-05-10 15:28","","Agendamentos (MQL)","","","","","","","","","",""
"10268226307","CNN Brasil","2022-09-21 17:25","2023-07-19 15:26","2022-09-23 11:31","","Negócio perdido","","","","","","","","","Sumiu; Timing",""
"10239355748","Nissan","2022-09-19 15:09","2023-04-03 09:33","2022-10-13 17:24","","Negócio perdido","","","","","","","","","Maturação; Saiu da Empresa",""
"10288664398","Evera by Citrosuco","2022-09-16 11:47","2023-03-13 15:12","2022-10-31 12:16","2022-11-11 11:34","Cliente","463387.59","","","","463387.59","463387.59","463387.59","463387.59","",""
"10194908756","CBC","2022-09-15 11:54","2023-07-19 15:28","2022-09-29 20:33","2023-01-20 16:27","Negócio perdido","","","","","","","","","Não é ICP",""
"10161938786","HONDA","2022-09-12 16:40","2023-07-04 16:56","2022-09-20 15:30","","Negócio perdido","","","","","","","","","Maturação; Desinteresse/Declinou; Timing",""
"10161251850","Gazin","2022-09-12 16:06","2023-07-20 11:11","2022-10-25 15:49","2023-01-20 16:27","Negócio perdido","","","","","","","","","Sumiu; Desinteresse/Declinou",""
"10160287395","Dpaschoal","2022-09-12 12:24","2023-07-20 11:24","2022-09-19 11:43","","Negócio perdido","","","","","","","","","Financeiro",""
"10117266732","Teuto","2022-09-08 15:00","2023-07-20 11:10","2022-09-29 19:37","2023-01-20 16:27","Negócio perdido","","","","","","","","","Financeiro",""
"10070324108","Negócio Eletrobras - Renata","2022-09-05 13:47","2023-05-30 17:58","2022-09-13 15:24","","Agendamentos (MQL)","","","","","","","","","",""
"10070151285","Rede Sim de Postos","2022-09-05 13:45","2023-07-19 14:59","2022-10-07 09:00","","Negócio perdido","","","","","","","","","Financeiro; Maturação",""
"10067849484","Portobello - Pointer","2022-09-05 11:44","2023-07-20 11:59","2022-09-20 09:36","2022-10-03 11:38","Negócio perdido","","","","","","","","","Financeiro; Não é ICP",""
