Record ID;Nome do negócio;Data de criação;Data de fechamento;Etapa do negócio;Valor_x;Valor do contrato anual_x;Receita anual recorrente;Valor total do contrato;Valor previsto;Valor na moeda da empresa;Valor do negócio projetado na moeda local;Valor do negócio projetado;Motivo de fechamento perdido_x;Negocios_Criados;Pipeline;Agendamentos;Agendamento_Aceito;Diagnostico;Proposta;Cliente;Valor_y;Valor do contrato anual_y;Motivo de fechamento perdido_y;Nome da empresa;Setor
12776263680;EUROCHEM;2023-03-29 10:26;2023-03-31 10:26;Negócio perdido;720000.0;;;;720000.0;720000.0;0.0;0.0;"Financeiro; Fechou com Concorrente; Desinteresse/Declinou";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Sim;Nao;720000.0;;"Financeiro; Fechou com Concorrente; Desinteresse/Declinou";EUROCHEM;
12754190484;ISLA SEMENTES;2023-03-28 18:00;;Negócio perdido;;;;;;;;;Financeiro;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;Financeiro;ISLA SEMENTES;Serviços financeiros
12753468273;SPORT CLUB;2023-03-28 16:05;;Negócio perdido;;;;;;;;;Financeiro;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Nao;Nao;;;Financeiro;SPORT CLUB;Esportes
12688511828;VERDE AGRITECH;2023-03-23 12:58;;Negócio perdido;;;;;;;;;"Maturação; Timing";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Maturação; Timing";VERDE AGRITECH;
12627287415;GDM SEEDS;2023-03-20 14:41;2023-03-31 14:40;Negócio perdido;;;;;;;;;"Fechou com Concorrente; Financeiro";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Sim;Nao;;;"Fechou com Concorrente; Financeiro";GDM SEEDS;
12431223324;JOHN DEERE;2023-03-07 10:01;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;JOHN DEERE;Maquinário
12334431491;RESERVAS VOTORANTIM;2023-02-27 18:59;;Negócio perdido;;;;;;;;;"Não é ICP; Maturação";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Não é ICP; Maturação";RESERVASVOTORANTIM;
12268878875;VITTA RESIDENCIAL;2023-02-22 12:30;;Negócio perdido;;;;;;;;;Financeiro;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;Financeiro;VIBRA RESIDENCIAL;
12135020909;GRUPO SALTA;2023-02-13 08:59;;Negócio perdido;;;;;;;;;"Fechou com Concorrente; Maturação; Financeiro";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Nao;Nao;;;"Fechou com Concorrente; Maturação; Financeiro";GRUPO SALTA;
12087770387;GRUPO BERTOLINI;2023-02-09 12:44;;Negócio perdido;;;;;;;;;"Timing; Maturação";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Timing; Maturação";GRUPO BERTOLINI;Mobília
