Record ID,Nome do negócio,Valor na moeda da empresa,Etapa do negócio,Data de criação,Negocios_Criados,Data de fechamento,Pipeline,Agendamentos,Agendamento_Aceito,Diagnostico,Proposta,Cliente,ultima_etapa
9321003094,Jacto,,Negócio perdido,2022-06-27 15:25:39.823,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9320851333,Sonda Supermercados,,Negócio perdido,2022-06-27 15:17:04.231,Sim,2022-08-10 13:43:28.164,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
9266863369,Leite de Rosas,,Negócio perdido,2022-06-21 18:39:07.513,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9185291090,Auto Avaliar | GA4,82276.64,Negócio perdido,2022-06-14 11:44:15.923,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
9152980401,Oracle | GA4,,Negócio perdido,2022-06-10 10:06:59.926,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9145229174,Ayumi Supermercados,,Negócio perdido,2022-06-09 18:22:51.539,Sim,2022-08-10 13:39:49.290,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9142920225,Bombril,510000.0,Negócio perdido,2022-06-09 12:32:06.659,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
9134056239,Enxuto Supermercados,,Negócio perdido,2022-06-08 16:10:35.888,Sim,2022-08-09 16:18:09.500,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9122637851,RG PNEUS PIRELLI,346703.31,Proposta Enviada (SQL),2022-06-07 11:43:26.422,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
9059767372,Zenatur,,Negócio perdido,2022-05-31 16:06:50.260,Sim,2022-08-10 13:41:38.029,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9005486135,BlackPar,,Negócio perdido,2022-05-25 10:33:44.398,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
8988575343,Gillette Venus,,Negócio perdido,2022-05-23 16:10:24.285,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8947390720,Celeiro Supermercados,,Negócio perdido,2022-05-18 15:02:35.501,Sim,2022-06-06 11:16:13.168,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8938556759,Barry Callebaut,,Negócio perdido,2022-05-17 16:41:04.132,Sim,2022-05-31 16:41:04.132,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
8937938199,Ascensus Group,,Negócio perdido,2022-05-17 14:37:35.178,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
8891831424,Prima Foods,,Negócio perdido,2022-05-12 12:46:23.146,Sim,2022-05-31 16:02:14.520,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8868515513,Grupo Zanetti,,Negócio perdido,2022-05-10 09:51:11.689,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
8860080758,Iquegami Supermercados,,Negócio perdido,2022-05-09 17:09:30.438,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9185739073,Farmadelivery II,616536.0,Cliente,2022-05-06 00:00:00.000,Sim,2022-11-11 11:34:08.324,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Sim,Cliente
8785636688,NK Sementes (Syngenta) - Portal,720000.0,Negócio perdido,2022-05-02 14:03:54.611,Sim,2023-02-09 10:04:02.674,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
8784596653,Valmont,,Negócio perdido,2022-05-02 11:54:40.784,Sim,2022-05-17 16:42:10.664,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8808339045,Nim Genetics,217872.0,Cliente,2022-05-02 00:00:00.000,Sim,2022-07-04 19:01:50.708,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Sim,Cliente
8750596964,Pagaleve,,Negócio perdido,2022-04-28 16:31:39.376,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
8725975888,Tintas Eucatex II,,Negócio perdido,2022-04-26 18:16:44.488,Sim,2022-05-10 16:55:13.677,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
8648141316,Empório H,,Negócio perdido,2022-04-18 14:31:01.089,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
8525141673,Rocha,,Negócio perdido,2022-04-05 15:00:57.610,Sim,2022-05-31 15:57:21.606,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8521807490,Grupo Redebrasil,,Negócio perdido,2022-04-05 11:03:56.532,Sim,2022-04-20 12:13:14.432,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8510171833,Calçados Bibi,,Negócio perdido,2022-04-04 13:44:11.695,Sim,2023-01-20 16:27:33.675,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
8509054492,Leão Alimentos e Bebidas,,Negócio perdido,2022-04-04 12:30:25.994,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
8444212021,Unipac,,Negócio perdido,2022-04-01 17:47:05.371,Sim,2022-04-20 12:19:12.067,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8437713017,EUCATUR,,Negócio perdido,2022-04-01 15:20:08.190,Sim,2022-04-06 11:49:19.848,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8401843003,Castrillon Autopeças,,Negócio perdido,2022-03-30 08:12:54.343,Sim,2022-05-17 16:42:00.621,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8391202363,Metalúrgica Fey,,Negócio perdido,2022-03-29 16:42:21.689,Sim,2022-04-10 15:16:11.734,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8344505364,VetBR Saúde Animal,,Negócio perdido,2022-03-24 11:56:33.488,Sim,2022-04-20 12:13:46.313,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8343752003,AD'ORO,,Negócio perdido,2022-03-24 09:36:29.029,Sim,2022-05-31 15:59:49.158,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8322344064,Grupo Semar Supermercados,,Negócio perdido,2022-03-23 11:39:01.254,Sim,2022-08-09 16:18:53.647,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
8310347110,Phio care,,Negócio perdido,2022-03-22 10:46:46.008,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
8304208765,SAS Plataforma de Educação,307308.0,Negócio perdido,2022-03-21 16:49:06.819,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
8301515184,Grupo Priner,,Negócio perdido,2022-03-21 12:03:15.970,Sim,2022-04-07 09:52:43.168,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8264520809,APSA,,Negócio perdido,2022-03-18 17:35:21.287,Sim,2022-04-20 12:20:53.278,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8263921938,Lunelli,,Negócio perdido,2022-03-18 16:58:22.830,Sim,2022-07-14 11:37:29.202,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
8261350969,Club Men Cosmetics,,Negócio perdido,2022-03-18 10:59:41.597,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
8253354841,Prodap,,Negócio perdido,2022-03-17 17:22:37.642,Sim,2022-06-13 08:50:25.218,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8239766660,Shopping Recife,,Negócio perdido,2022-03-16 10:16:21.584,Sim,2022-04-20 12:14:17.518,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8235144739,Porto Itapoá,445722.96,Proposta Enviada (SQL),2022-03-15 22:01:14.420,Sim,2022-08-24 11:12:49.404,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
8242183344,Alterdata Software II,,Negócio perdido,2022-03-15 16:39:46.493,Sim,2022-07-04 16:22:03.159,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
8230722315,Wiz Soluções,,Negócio perdido,2022-03-15 11:50:32.652,Sim,2022-10-19 18:30:22.592,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
8230620996,Vale,,Negócio perdido,2022-03-15 11:34:29.433,Sim,2022-04-20 12:17:55.016,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8219795006,Whido,,Negócio perdido,2022-03-14 12:42:53.531,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
